,id,lon,lat,improvement,category
1,24497010,9.452448,46.832985,8,ZH_bikes
2,24515888,8.596332,46.634781999999994,329,ZH_bikes
3,24497145,7.214949999999999,46.079369999999976,69,ZH_bikes
4,24497195,7.938879999999999,46.12795999999999,266,ZH_bikes
5,24497764,7.62506,46.383646,740,ZH_bikes
6,24497229,8.75319,46.18592,221,ZH_bikes
7,24501734,8.473321,46.940228999999995,2100,ZH_bikes
8,24506156,8.9419,47.37125000000002,840,ZH_bikes
9,24498350,7.351729,46.712471999999984,628,ZH_bikes
10,51699730,8.525863,46.99237,2402,ZH_bikes
11,24498820,6.823869999999998,47.09804,12,ZH_bikes
12,24496887,8.62397,46.90104999999998,180,ZH_bikes
13,24498656,7.682290000000001,47.004749999999994,916,ZH_bikes
14,24498921,6.688749999999998,46.56458999999998,932,ZH_bikes
15,24497610,8.674954,46.517504,3284,ZH_bikes
16,24496785,8.99741,46.92536999999999,3,ZH_bikes
